사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022030200100283,2022년 3월 2일 15시,수요일,부산광역시 중구 대청동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세,상해없음,보행자,여,30세,경상
2022030200100284,2022년 3월 2일 15시,수요일,부산광역시 서구 부용동1가,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,원동기,남,54세,중상
2022030200100285,2022년 3월 2일 15시,수요일,부산광역시 금정구 금사동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,73세,상해없음,승용,여,73세,경상
2022030200100317,2022년 3월 2일 16시,수요일,부산광역시 서구 아미동1가,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,,,,
2022030200100318,2022년 3월 2일 16시,수요일,부산광역시 사하구 괴정동,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,여,41세,경상,보행자,여,85세,중상
2022030200100355,2022년 3월 2일 17시,수요일,부산광역시 해운대구 재송동,경상사고,0,0,2,1,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,승용,남,31세,경상
2022030200100356,2022년 3월 2일 17시,수요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,이륜,남,24세,경상
2022030200100357,2022년 3월 2일 17시,수요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,71세,경상
2022030200100395,2022년 3월 2일 18시,수요일,부산광역시 중구 부평동2가,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,여,38세,경상
2022030200100396,2022년 3월 2일 18시,수요일,부산광역시 중구 중앙동5가,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,27세,부상신고,승용,남,27세,경상
2022030200100397,2022년 3월 2일 18시,수요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,46세,경상
2022030200100398,2022년 3월 2일 18시,수요일,부산광역시 남구 문현동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,66세,기타불명,승용,여,37세,경상
2022030200100399,2022년 3월 2일 18시,수요일,부산광역시 해운대구 송정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,35세,경상,승용,남,42세,상해없음
2.02203E+15,2022년 3월 2일 18시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,여,50세,경상
